Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-ut-success-academy-early-college-high-school,UT SUCCESS Academy early college high school at Utah Tech,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-switchpoint-thrift-store-job-training,Switchpoint Thrift Store and Switchpoint Industries workforce training,,,No,Community training is not documented as restricted to shelter clients or low-income participants.
res-taylor-andrews-st-george-beauty-training,Taylor Andrews Academy - St. George beauty-industry training programs,,Low-income households,Yes,Means-tested Pell route is listed; conditional high-school pathway wording does not verify minor admission.
res-tech-moms-st-george-technology-skills,"Tech-Moms St. George technology skills, foundational cohort, and career transition",Children & teens,Families with children; Women,Yes,Current child-care support establishes a parent route and the named Career Relaunch course a women-specific option. The announced but unscheduled Digital Literacy class does not yet establish direct child participation or Spanish access.
res-computah-five-county-st-george-hub,CompUtah Hub at Five County Association of Governments,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-lds-self-reliance-courses,The Church of Jesus Christ of Latter-day Saints Self-Reliance Courses,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-ibarra-foundation-ime-becas-scholarship,Ibarra Foundation / IME BECAS Scholarship,,Immigrants & refugees; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ripple-effect-after-school-program,The Ripple Effect After School Programs,Children & teens,Children & teens; Families with children; Students; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uofu-rural-medicine-scholars-southern-utah,University of Utah Rural Medicine Scholars Southern Utah Regional Medical Campus pathway,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-userveutah-americorps-student-success,UServeUtah AmeriCorps Student Success Program - Washington School District access,,Families with children; Children & teens; Students,Yes,Student clients determine labels here; immigration qualifications describe AmeriCorps staff/member recruitment.
res-usu-extension-washington-county-4h,USU Extension Washington County 4-H STEM and career-readiness youth programming,Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uaeyc-teach-early-childhood-utah,UAEYC TEACH Early Childhood Utah Scholarship,Children & teens,Students,Yes,"Scholarship recipients are degree-seeking child-care workers, not children."
res-utah-dcfs-education-training-voucher,Utah DCFS Education Training Voucher and foster-youth education/employment transition support,Children & teens; Foster & kinship families,Children & teens; Foster & kinship families; Families with children; Young adults; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sumh-certified-peer-support-specialist,Utah SUMH Certified Peer Support Specialist (CPSS) training and certification,People in recovery; Children & teens; Young adults,People in recovery; Young adults,Yes,Youth and Young Adult Peer Support applicants are 18-30; the record does not establish minors as applicants.
res-utah-dws-snap-employment-training,Utah DWS SNAP Employment and Training (E&T),,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-wioa-youth-program,Utah DWS WIOA Youth Program,Children & teens; Young adults,Children & teens; Young adults; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-electrical-training-alliance-inside-wireman,Utah Electrical Training Alliance Inside Wireman Apprenticeship,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-national-guard-state-tuition-assistance,Utah National Guard State Tuition Assistance,Veterans & military families,Veterans & military families; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-online-school-k12,Utah Online School / Washington County School District K-12 online public school,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uphca-apprenticeship-academy,UPHCA Academy online plumbing and mechanical trades training,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-sbdc-st-george-business-training,Utah SBDC St. George business counseling and entrepreneur training,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-somos-scholarship,Utah Somos Foundation SOMOS Scholarship,,Families with children; Children & teens; Students; Low-income households,Yes,Latino/Hispanic ethnicity alone does not establish immigrant status or Spanish service.
res-utah-fits-all-scholarship,Utah Fits All Scholarship Program,Children & teens,Children & teens; Families with children; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usbe-cte-scholarships-tuition-awards,USBE Career and Technical Education Scholarships and Tuition Awards,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-focused-graduation-pathway,Washington County School District Focused Graduation Pathway,,Families with children; Children & teens; Young adults; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usbe-youth-in-care-education,USBE Youth-in-Care / Youth-in-Custody education services,Children & teens; Native & tribal communities,Children & teens; Native & tribal communities; Families with children; Young adults; People leaving incarceration; Foster & kinship families; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-online-public-library-learningexpress,Utah Online Public Library LearningExpress Library,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usu-st-george-statewide-campus,Utah State University St. George / Southwest Statewide Campus,,Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usu-rural-online-remote-work-certificate,USU Extension Rural Online Initiative Certified Remote Work Professional,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-usu-native-american-student-scholarship,Utah State University Native American Student Scholarship,Native & tribal communities,Native & tribal communities; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ushe-technical-education-scholarship,Utah System of Higher Education Technical Education Scholarship,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ushe-utah-promise-trailblazer-promise,Utah Promise Grant / Utah Tech Trailblazer Promise,Low-income households,Low-income households; Students; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ushe-adult-learner-grant,Utah System of Higher Education Adult Learner Grant Program,Low-income households,Low-income households; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ushe-opportunity-scholarship,Utah System of Higher Education Opportunity Scholarship,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ushe-utah-fafsa-help,Utah System of Higher Education Utah FAFSA Help,Students; Spanish-speaking people,Students; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-kidspace-afterschool,Utah Tech University KidSpace Afterschool,Children & teens,Children & teens; Families with children; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-southern-utah-ahec-health-scholars,Utah Tech University Southern Utah AHEC / Utah Health Scholars,,Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-academic-performance-center-tutoring,Utah Tech University Academic Performance Center tutoring,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-adult-learner-admissions,Utah Tech University Adult Learner Admissions,Seniors,Seniors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-atwood-innovation-plaza-stem-makerspace,Utah Tech University Atwood Innovation Plaza STEM Outreach Center and Makerspace,Children & teens; Students,Children & teens; Students; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-business-resource-center-futureready,Utah Tech University Business Resource Center / FutureReady Utah,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-tech-career-services,Utah Tech University Career Services,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-community-education,Utah Tech University Community Education and Certificate Programs,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-tech-concurrent-enrollment,Utah Tech University Concurrent Enrollment,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-cna-certificate,Utah Tech University Certified Nursing Assistant certificate,Students,Students; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-hurricane-education-center,Utah Tech University Hurricane Education Center,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-institute-for-continued-learning,Utah Tech University Institute for Continued Learning,,Seniors,Yes,Documented older/retired audience without claiming a strict age minimum.
res-utah-tech-post-academy,Utah Tech University POST Academy at Hurricane Education Center,,,No,Police recruit training is not support for justice-involved clients; general admission does not require prior student status.
res-utah-tech-hb144-resident-tuition-affidavit,Utah Tech University HB 144 affidavit for nonresident tuition waiver,Students,Students; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-th-bell-education-scholarship,Utah Tech University T.H. Bell Education Scholarship,People with disabilities; Students,Students,Yes,The scholarship trains professionals who serve disabled students; it does not require or specifically support disabled scholarship applicants.
res-utah-tech-testing-center-ged-professional-exams,Utah Tech University Testing Center GED and professional exam access,Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-trio-educational-talent-search,Utah Tech University TRIO Educational Talent Search,,Families with children; Children & teens; Students; Low-income households; People with disabilities; People experiencing homelessness; Foster & kinship families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-trio-student-support-services,Utah Tech University TRIO Student Support Services,People with disabilities; Students,People with disabilities; Students; Immigrants & refugees; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-trio-upward-bound,Utah Tech University TRIO Upward Bound,Low-income households; Students,Low-income households; Students; Immigrants & refugees; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-bridge-scholarship-dixie-tech,Utah Tech University Bridge Scholarship for Dixie Technical College alumni,,Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-financial-aid-scholarships-office,Utah Tech University Financial Aid and Scholarships Office,Students,Students; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-heiy-incarcerated-youth,Utah Tech University Higher Education for Incarcerated Youth (HEIY),Children & teens; People leaving incarceration,Children & teens; People leaving incarceration; Families with children; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-prior-learning-assessment,Utah Tech University Prior Learning Assessment,Veterans & military families,Veterans & military families; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-veteran-military-services-education-benefits,Utah Tech University Veteran and Military Services education-benefit certification and support,Veterans & military families,Veterans & military families; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-esl-academic-english,Utah Tech University English as a Second Language academic program,,Immigrants & refugees; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-coa-st-george-computer-access-instruction,Washington County Council on Aging St. George computer access and instruction,Seniors,Seniors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-library-st-george-makerspace-learning-access,"Washington County Library St. George branch computer, learning, and MakerSpace access",Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-southwest-adult-high-school-esl,Washington County School District Southwest Adult High School ESL classes,Immigrants & refugees; Spanish-speaking people,Immigrants & refugees; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-southwest-adult-high-school-adult-education,"Washington County School District Southwest Adult High School adult education, diploma, and GED preparation",,Families with children; Children & teens; Veterans & military families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-foundation-chelsi-petersen-scholarship,Washington County School District Foundation Chelsi Petersen Memorial Scholarship,,Families with children; Children & teens; Students; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-special-education-department-transition-services,Washington County School District Special Education Department and transition services,People with disabilities; Students,People with disabilities; Students; Families with children; Children & teens; Deaf & hard of hearing; Blind & low vision,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-career-technical-education-pathways,Washington County School District Career and Technical Education pathways,People with disabilities; Students,Students; Families with children; Children & teens,Yes,A general nondiscrimination statement does not document a specific disability accommodation or dedicated disability service.
res-wcsd-dual-language-immersion,Washington County School District Dual Language Immersion,Students,Students; Families with children; Children & teens; Spanish-speaking people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-millcreek-high-school-alternative-completion,Washington County School District Millcreek High School alternative completion pathway,Students,Students; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-career-tech-high-school,Washington County School District Career Tech High School,,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-title-vi-indian-education,Washington County School District Title VI Indian Education and Family Nights,Native & tribal communities,Native & tribal communities; Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swah-purgatory-correctional-facility-education,Southwest Adult High School at Purgatory Correctional Facility,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-zion-massage-college-massage-therapy,Zion Massage College massage therapy certificate programs,,People with disabilities; Veterans & military families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ascend-st-george-staffing,Ascend Staffing St. George temporary and temp-to-hire staffing,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-elwood-st-george-staffing,Elwood Staffing St. George staffing and job-seeker intake,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-express-employment-st-george,Express Employment Professionals Saint George job placement,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-five-county-cap-employment-support,"Five County AOG Community Action Partnership Employment Support, bus passes, vouchers, and document assistance",Seniors; People with disabilities; Abuse & violence survivors; Low-income households,Seniors; People with disabilities; Abuse & violence survivors; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nexeo-hr-st-george-staffing,"Nexeo HR St. George temp, temp-to-hire, and direct-hire staffing",,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-peopleready-st-george-staffing,PeopleReady St. George temporary and shift-work staffing,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-sbhc-southwest-employment-services,Southwest Behavioral Health Center Southwest Employment Services,People in recovery,People in recovery; People with disabilities,Yes,The service explicitly adapts employment support for mental-illness/substance-use clients; no general reentry eligibility is established.
res-lds-employment-services-st-george,The Church of Jesus Christ of Latter-day Saints St. George Employment Services,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-va-vre-chapter31,U.S. Department of Veterans Affairs Veteran Readiness and Employment (VR&E / Chapter 31),Veterans & military families; People with disabilities,Veterans & military families; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ucp-staffing-st-george,UCP Staffing St. George construction and skilled-trades staffing,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-dws-federal-bonding-program,Utah DWS Federal Bonding Program,People in recovery; Children & teens; People leaving incarceration,People in recovery; Children & teens; People leaving incarceration; Families with children; Veterans & military families; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-veteran-military-employment-services,Utah DWS Veteran and Military Employment Services,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-aarp-foundation-tax-aide,AARP Foundation Tax-Aide free tax preparation,Seniors; Low-income households,Seniors; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-enbridge-energy-assistance-credit,Enbridge Gas Utah Energy Assistance Credit,,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-enbridge-reach,Enbridge Gas Utah REACH Residential Energy Assistance through Community Help,Seniors; Low-income households,Seniors; Low-income households; People with disabilities; Families with children; Children & teens; Veterans & military families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-family-healthcare-sliding-fee-discounts,Family Healthcare sliding fee scale and prescription discounts,Low-income households; Uninsured & underinsured,Low-income households; Uninsured & underinsured,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-heat,Five County Association of Governments HEAT energy assistance and shutoff protection,Low-income households,Low-income households; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-homeless-veterans-fellowship-ssvf,Homeless Veterans Fellowship Supportive Services for Veteran Families (SSVF),Veterans & military families; People experiencing homelessness,Veterans & military families; People experiencing homelessness; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-financial-assistance-ut-id-nv,"Intermountain Health financial assistance for Utah, Idaho, and Nevada patients",Low-income households,Low-income households; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-jfs-utah-financial-assistance,Jewish Family Service of Utah Financial Assistance / Safety Net Program,,,No,Requires verifiable income; the record does not specify an income ceiling or particular population.
res-money-fit-credit-debt-counseling,Money Fit nonprofit credit counseling and debt management counseling,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-money-management-international-foreclosure-counseling,Money Management International free foreclosure-prevention counseling,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-ssa-extra-help-part-d,Social Security Extra Help for Medicare Part D prescription costs,Low-income households,Low-income households; People with disabilities; Deaf & hard of hearing,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ssa-lump-sum-death-payment,Social Security Lump-Sum Death Payment,Children & teens,Children & teens; Families with children; People with disabilities; Students; Young adults,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ssa-survivors-benefits-st-george-access,Social Security Survivors Benefits application and Saint George office access,Families with children; Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities; Deaf & hard of hearing; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-salvation-army-lend-a-hand-rmp,The Salvation Army Lend A Hand Rocky Mountain Power energy assistance,People with disabilities,People with disabilities; Seniors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-single-parent-project-support-grants,The Single Parent Project single-parent support grants and 6 Month Program,Families with children,Families with children; Low-income households; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-burial-allowance-transportation,U.S. Department of Veterans Affairs Veterans Burial Allowance and Transportation Benefits,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-veterans-pension,U.S. Department of Veterans Affairs Veterans Pension,Veterans & military families; People with disabilities,Veterans & military families; People with disabilities; Seniors; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-medicare-savings-programs,"Utah Medicaid Medicare Savings Programs (QMB, SLMB, QI)",,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-udvma-ace-grant,Utah Department of Veterans and Military Affairs Accelerated Credentialing to Employment (ACE) Program,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-udvma-veteran-first-time-homebuyer-grant,Utah Department of Veterans and Military Affairs Utah Veteran First-Time Homebuyer Grant,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-help-electric-lifeline,Utah Home Electric Lifeline Program (HELP) Rocky Mountain Power bill credit,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-refugee-cash-assistance,Utah DWS Refugee Cash Assistance and Refugee Medical Assistance eligibility,Immigrants & refugees; Abuse & violence survivors,Immigrants & refugees; Abuse & violence survivors; Low-income households; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-adoption-assistance-birth-parents,Utah DWS Adoption Assistance Program for birth parents,Families with children,Families with children; Low-income households,Yes,"Birth-parent benefit; does not establish foster/kinship eligibility, a minor client, or a current pregnancy/postpartum requirement."
res-utah-dws-emergency-assistance-homeless-prevention,Utah DWS Emergency Assistance / Homeless Prevention,Families with children; Children & teens; People experiencing homelessness,Families with children; Children & teens; People experiencing homelessness; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-general-assistance,Utah DWS General Assistance,,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-specified-relative-program,Utah DWS Specified Relative Program,Families with children; Children & teens,Families with children; Children & teens; Foster & kinship families; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-unemployment-insurance,Utah DWS Unemployment Insurance,,Immigrants & refugees,Yes,The claim route explicitly accommodates noncitizen claimants; all UI/work-authorization rules still apply.
res-utah-dcfs-tal-aftercare-support,Utah DCFS Transition to Adult Living Aftercare Support and foster-youth document access,Children & teens; Foster & kinship families,Children & teens; Foster & kinship families; Families with children; Young adults,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-housing-corp-homebuyer-dpa,Utah Housing Corporation First-Time Homebuyer Assistance and Down Payment Assistance,,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-hrss,Utah Medicaid Housing Related Services and Supports (HRSS),People experiencing homelessness,People experiencing homelessness; Low-income households; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uptha-rental-assistance,Utah Paiute Tribal Housing Authority Rental Assistance Program,Native & tribal communities,Native & tribal communities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tax-commission-circuit-breaker-renter-credit,Utah State Tax Commission Circuit Breaker Renter's Credit,Seniors; Low-income households,Seniors; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-vita-free-tax-prep,Utah Tech University VITA Free Tax Prep,Seniors; People with disabilities,Seniors; People with disabilities; Deaf & hard of hearing; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-realtors-reach-grant,Washington County Board of REALTORS REACH Foundation Grant Program,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-washington-county-indigent-cremation-assistance,Washington County indigent cremation assistance,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-arrow-point-sotp-washington-county,Arrow Point Associates approved sex-offense treatment - Washington County,,People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-clean-slate-utah-fresh-start,Clean Slate Utah Fresh Start expungement and pardon assistance,Low-income households,Low-income households; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-federal-public-defender-utah-st-george,Federal Public Defender District of Utah - St. George Branch Office,Low-income households,Low-income households; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-mental-health-court,Fifth District Court Washington County Adult Mental Health Court,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-hope-healing-place-sotp-washington-county,Hope and Healing Place approved sex-offense treatment - Washington County,,People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-john-volken-academy-utah,John Volken Academy Utah residential vocational recovery school,Men,Men; People in recovery; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-rasa-legal-utah-record-clearance,"Rasa Legal Utah record clearance, expungement, and 402 reduction services",,People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-vital-records-washington-county,Southwest Utah Public Health Washington County Vital Records and Utah birth-certificate fee waiver access,Children & teens; People experiencing homelessness,Children & teens; People experiencing homelessness; Foster & kinship families; Families with children; Young adults,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-other-side-academy-utah-reentry,The Other Side Academy Utah residential reentry and therapeutic community,People in recovery; People experiencing homelessness; People leaving incarceration,People in recovery; People experiencing homelessness; People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-veterans-justice-outreach-st-george,U.S. Department of Veterans Affairs Veterans Justice Outreach - St. George contact,Veterans & military families; People leaving incarceration,Veterans & military families; People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-us-probation-utah-st-george-reentry,United States Probation and Pretrial Services District of Utah - St. George reentry access,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-lifeline-phone-internet-discount,Lifeline and Utah telecommunication assistance phone or internet discount,Veterans & military families; Native & tribal communities; Low-income households,Veterans & military families; Native & tribal communities; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-udc-workforce-development-hive,Utah Department of Corrections Workforce Development / The Hive,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bci-expungement-certificate,Utah BCI Expungement Certificate of Eligibility and expungement status access,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-dopl-criminal-history-determination,Utah DOPL Application for Criminal History Determination,,People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dld-dixie-license-reinstatement,"Utah Driver License Division Dixie Office ID, Driving Privilege Card, reinstatement, and DUI hearing access",,Immigrants & refugees; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-jjys-alta,Utah JJYS Adult Living for Transitional Achievement (ALTA),Children & teens; People leaving incarceration,Children & teens; People leaving incarceration; Families with children; Young adults,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-justice-involved-program,Utah Medicaid Justice-Involved Program,People leaving incarceration,People leaving incarceration; Families with children; Children & teens; People in recovery; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usu-hru-justice-involved-fatherhood,USU Extension Healthy Relationships Utah Fatherhood Education for Justice-Involved Fathers,Children & teens; People leaving incarceration,People leaving incarceration; Families with children; Men; Caregivers,Yes,"Clients are fathers age 18+; their children's ages describe parent eligibility, not children receiving the class."
res-washington-county-justice-court-access,"Washington County Justice Court case, warrant, public-defender, fine, and license access",People leaving incarceration; Spanish-speaking people,People leaving incarceration; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-purgatory-correctional-facility-programming-unit,Purgatory Correctional Facility Programming Unit / volunteer-assisted inmate programs,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dhhs-community-food-security-produce-benefits,Utah DHHS Community Food Security produce benefits and Senior Farmers Market Nutrition,Seniors; Low-income households,Seniors; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
