Category,Review priority,Resource,Reason,Question to resolve,Resource ID
Financial Assistance,Important specialized help,Utah DWS Child Care Assistance Program with Care About Childcare - Five County navigation,"Review for this particular program or eligibility pathway: Utah child care subsidy program helping eligible parents pay approved child care providers while parents work or meet qualifying activities, with Care About Childcare - Five County as a local provider-search and….",,res-utah-dws-child-care-assistance
Financial Assistance,Start here,Utah Legal Services St. George civil legal aid and limited immigration citizenship help,Establish the local civil legal-aid screening route before specialist or fee-based alternatives.,,res-utah-legal-services-st-george-family-benefits
Financial Assistance,Important specialized help,Utah Office of Recovery Services Child Support Services - St. George office,"Review for this particular program or eligibility pathway: Utah Office of Recovery Services child-support program with St. George office access, including child-support application, paternity establishment, support and medical-support orders, enforcement, payment processing, and….",,res-utah-ors-child-support-services
Financial Assistance,Start here,"Five County AOG Community Action Partnership coordinated entry, rapid rehousing, diversion, utility deposits, and housing assistance",Establish coordinated entry and community-action screening early; several housing and basic-needs pathways depend on that intake.,"What is the current coordinated-entry process, and which assistance funds or placements are accepting referrals?",res-five-county-cap-rapid-rehousing-toolkits
Financial Assistance,Additional options,Five County AOG Weatherization Assistance Program,"Keep as a further option after establishing the starting routes in Financial Assistance: Federally funded Weatherization Assistance Program administered by Five County AOG for Washington County homes, providing energy-efficiency and safety improvements such as insulation, air sealing, heating-system work, minor….",,res-five-county-aog-weatherization-assistance
Financial Assistance,Important specialized help,"Holding Out HELP Southern Utah transition, housing-resource, therapy, and basic-needs support","Review for this particular program or eligibility pathway: Population-specific transition, case-management, therapy, housing-resource, emergency-support, and basic-needs pathway for individuals and families from polygamous or high-control community backgrounds, including Southern Utah….",,res-holding-out-help-southern-utah-basic-needs
Financial Assistance,Important specialized help,Manos Amigas Utah Southern Utah immigrant detention/deportation support and emergency aid,"Review for this particular program or eligibility pathway: Southern Utah volunteer mutual-aid program helping detained/deported immigrants and separated families with detention phone funds, deportation-system navigation, emergency aid, groceries, baby supplies, household essentials….",,res-manos-amigas-utah-emergency-basic-needs
Financial Assistance,Important specialized help,American Legion Temporary Financial Assistance for children's basic needs - Post 90 access,"Review for this particular program or eligibility pathway: American Legion Temporary Financial Assistance access through Lester Keate Post 90/Department of Utah for eligible military or Legion-member households with minor children, including utilities and children's basic needs after….",,res-american-legion-tfa-children-basic-needs
Financial Assistance,Start here,The Church of Jesus Christ bishop-referred fast-offering and storehouse assistance,Establish the bishop-referral and authorization route so assistance is not presented as unrestricted walk-in aid.,,res-lds-bishops-storehouse-st-george-basic-goods
Financial Assistance,Important specialized help,Utah Office for Victims of Crime victim compensation for crime-related expenses,"Review for this particular program or eligibility pathway: Statewide Utah crime-victim compensation pathway that can reimburse or pay approved crime-related expenses, including medical care, counseling, lost wages, funeral costs, relocation, and essential personal property in qualifying….",,res-uovc-crime-victim-compensation-property-relocation
Financial Assistance,Start here,"Five County Area Agency on Aging Benefits Access, SHIP, and SMP",Establish the local benefits/Medicare counseling route before reviewing individual coverage and bill-assistance programs.,,res-five-county-aaa-benefits-access-ship-smp
Financial Assistance,Start here,"Social Security benefits, retirement, SSI, Medicare, Extra Help, appeals, and Saint George office access",Establish Social Security/SSI benefits and office/document access early; many other applications depend on this connection.,,res-social-security-disability-benefits-st-george-access
Financial Assistance,Important specialized help,"St. George Housing Authority housing, rental-assistance inquiry, and homeless document-verification access","Review for this particular program or eligibility pathway: Local public housing authority administering St. George/Washington County Housing Choice Vouchers, low-income rental information, Dixie Sun Manor age-62+ public housing, limited emergency rental/mortgage assistance, HUD-covered….",,res-st-george-housing-authority-section-8-public-housing
Financial Assistance,Additional options,Tender Mercies disability grants and assistance,"Keep as a further option after establishing the starting routes in Financial Assistance: St. George-based nonprofit describing interim assistance, grants, and provider-partnership support for disabled individuals and families in Southern Utah/Southern Nevada.",,res-tender-mercies-disability-grants
Financial Assistance,Important specialized help,AbilityIS Work Activity Center Pooled Trust,Review for this particular program or eligibility pathway: Ability Inclusion Services nonprofit pooled special-needs trust for Utah residents with diagnosed intellectual or developmental disabilities.,,res-abilityis-work-activity-center-pooled-trust
Financial Assistance,Important specialized help,TURN Community Services Utah Pooled Trust,Review for this particular program or eligibility pathway: TURN Community Services statewide Utah Pooled Trust for people with disabilities who need to preserve public-benefit eligibility while using assets for supplemental needs.,,res-turn-utah-pooled-trust
Financial Assistance,Important specialized help,USDA Section 504 Home Repair Loans and Grants - Utah rural access,"Review for this particular program or eligibility pathway: USDA Rural Development Section 504 Home Repair loans and grants for eligible rural homeowners, usable for health, safety, accessibility, and home-repair needs, including grants for homeowners age 62+ who cannot repay a loan.",,res-usda-section-504-home-repair-loans-grants-utah
Financial Assistance,Important specialized help,VA adapted-housing and HISA home-modification grants,"Review for this particular program or eligibility pathway: VA disability-related home-modification benefits for eligible veterans and service members, including SAH/SHA adapted-housing grants and HISA medically necessary structural alterations.",,res-va-disability-housing-hisa-sah-sha-grants
Financial Assistance,Important specialized help,Utah Medicaid Work Incentive Program (MWI),Review for this particular program or eligibility pathway: Utah Medicaid Work Incentive buy-in coverage for working people who meet Social Security disability criteria and have earned income within program limits.,,res-utah-medicaid-work-incentive-program
Financial Assistance,Important specialized help,Utah Brain Injury and Spinal Cord Injury Fund,"Review for this particular program or eligibility pathway: Utah DHHS Violence and Injury Prevention Program fund and coaching pathway for brain injury, spinal cord injury, and non-progressive neurological condition resource facilitation, neuropsychological testing, rehabilitation….",,res-utah-brain-injury-spinal-cord-injury-fund
Financial Assistance,Start here,Utah Department of Veterans and Military Affairs Southern Utah VSOs and DD-214 archive access,Establish a Southern Utah veterans service officer connection to help navigate multiple benefits and documentation programs.,,res-udvma-southern-utah-vso-claims
Financial Assistance,Important specialized help,"Utah DSDHH Southern Utah Program / Southern Center case management, benefits access, classes, and senior events","Review for this particular program or eligibility pathway: State Division of Services of the Deaf and Hard of Hearing Southern Utah Program/Southern Center offering free St. George case management, benefits navigation, housing-application help, employment support, classes….",,res-utah-dsdhh-southern-center-case-management
Financial Assistance,Important specialized help,Utah Work Incentive Planning Services (UWIPS),"Review for this particular program or eligibility pathway: Free USOR benefits-planning service explaining how work affects Social Security disability, Medicaid, Medicare, SNAP, housing and other benefits for current SSI/SSDI beneficiaries.",,res-usor-utah-work-incentive-planning-services
Financial Assistance,Important specialized help,Washington County property tax relief programs,"Review for this particular program or eligibility pathway: Washington County Auditor property-tax relief programs for qualifying primary-property owners, including blind, disabled-veteran, deployed-military, senior/widow, disability, extreme-hardship, abatement, credit, exemption, and….",,res-washington-county-property-tax-relief-disability
Financial Assistance,Important specialized help,Fight Against Domestic Violence Flex Fund,"Review for this particular program or eligibility pathway: Statewide Utah survivor financial-assistance program providing up to $1,000 in flexible stabilization help for domestic-violence survivors working through advocates or case managers.",,res-fadv-flex-fund
Financial Assistance,Important specialized help,Fight Against Domestic Violence Housing First,"Review for this particular program or eligibility pathway: Statewide Utah domestic-violence survivor housing fund covering security deposits, application and background-check fees, rental and utility assistance, home repairs, mortgage assistance, and related housing barriers through….",,res-fadv-housing-first
Financial Assistance,Important specialized help,FreeFrom survivor financial safety programs,"Review for this particular program or eligibility pathway: National survivor-led financial-safety programs for survivors of gender-based violence, including flexible cash assistance, savings matching, financial coaching, and online survivor financial resources when cohorts are open.",,res-freefrom-survivor-financial-safety
Financial Assistance,Important specialized help,AARP Foundation Tax-Aide free tax preparation,"Review for this particular program or eligibility pathway: Free seasonal tax preparation and filing help from IRS-certified AARP Foundation Tax-Aide volunteers, with special focus on taxpayers over 50 and people with low to moderate income.",,res-aarp-foundation-tax-aide
Financial Assistance,Important specialized help,Enbridge Gas Utah Energy Assistance Credit,Review for this particular program or eligibility pathway: One-time Enbridge Gas Utah Energy Assistance Credit for HEAT-qualified gas customers whose HEAT benefit is applied to Enbridge Gas.,,res-enbridge-energy-assistance-credit
Financial Assistance,Important specialized help,Enbridge Gas Utah REACH Residential Energy Assistance through Community Help,Review for this particular program or eligibility pathway: Supplemental Enbridge Gas Utah REACH credit administered by The Salvation Army for eligible HEAT-approved customers with a past-due gas account.,,res-enbridge-reach
Financial Assistance,Start here,Family Healthcare sliding fee scale and prescription discounts,Clarify the local clinic's income-based discounts and prescription assistance before assuming care is affordable.,,res-family-healthcare-sliding-fee-discounts
Financial Assistance,Start here,Five County Association of Governments HEAT energy assistance and shutoff protection,Establish local HEAT application and shutoff-related assistance timing before individual utility credits or rebates.,,res-five-county-heat
Financial Assistance,Start here,Homeless Veterans Fellowship Supportive Services for Veteran Families (SSVF),Establish the veteran-family homelessness prevention/rehousing route and local referral connection.,,res-homeless-veterans-fellowship-ssvf
Financial Assistance,Start here,"Intermountain Health financial assistance for Utah, Idaho, and Nevada patients",Review the hospital financial-assistance application early; unpaid medical bills may have a formal assistance route.,,res-intermountain-financial-assistance-ut-id-nv
Financial Assistance,Additional options,Jewish Family Service of Utah Financial Assistance / Safety Net Program,"Keep as a further option after establishing the starting routes in Financial Assistance: Jewish Family Service of Utah emergency financial assistance/Safety Net Program for eligible Utah residents facing urgent needs such as rent, utilities, healthcare, transportation, or other crisis expenses.",,res-jfs-utah-financial-assistance
Financial Assistance,Start here,Money Fit nonprofit credit counseling and debt management counseling,"Establish a nonprofit debt/credit counseling entry point, including fees and limits, before considering financing products.",,res-money-fit-credit-debt-counseling
Financial Assistance,Additional options,Money Management International free foreclosure-prevention counseling,"Keep as a further option after establishing the starting routes in Financial Assistance: Free foreclosure-prevention counseling from Money Management International for homeowners worried about current or future mortgage delinquency, plus related nonprofit financial counseling options.",,res-money-management-international-foreclosure-counseling
Financial Assistance,Important specialized help,Social Security Extra Help for Medicare Part D prescription costs,"Review for this particular program or eligibility pathway: Federal Extra Help/Low-Income Subsidy application pathway lowering Medicare Part D prescription-drug premiums, deductibles, and copays for eligible Medicare beneficiaries with limited income and resources.",,res-ssa-extra-help-part-d
Financial Assistance,Important specialized help,Social Security Lump-Sum Death Payment,Review for this particular program or eligibility pathway: One-time Social Security lump-sum death payment for qualifying surviving spouses or certain children after a worker's death.,,res-ssa-lump-sum-death-payment
Financial Assistance,Important specialized help,Social Security Survivors Benefits application and Saint George office access,"Review for this particular program or eligibility pathway: Federal Social Security monthly survivor-benefit application pathway for eligible spouses, divorced spouses, children, and dependent parents after a worker's death, with online, phone, and Saint George field-office access.",,res-ssa-survivors-benefits-st-george-access
Financial Assistance,Important specialized help,The Salvation Army Lend A Hand Rocky Mountain Power energy assistance,"Review for this particular program or eligibility pathway: Statewide charitable electric-bill assistance for Rocky Mountain Power customers, funded through Lend A Hand donations and administered by The Salvation Army.",,res-salvation-army-lend-a-hand-rmp
Financial Assistance,Additional options,The Single Parent Project single-parent support grants and 6 Month Program,"Keep as a further option after establishing the starting routes in Financial Assistance: Utah nonprofit support pathway for qualifying single parents with financial need, combining tailored grants/support with required support-group/event participation, mentoring, coaching, and budget counseling.",,res-single-parent-project-support-grants
Financial Assistance,Important specialized help,U.S. Department of Veterans Affairs Veterans Burial Allowance and Transportation Benefits,"Review for this particular program or eligibility pathway: Federal VA burial, funeral, plot/interment, and transportation allowance claim for eligible people or organizations who paid qualifying veteran death expenses.",,res-va-burial-allowance-transportation
Financial Assistance,Important specialized help,U.S. Department of Veterans Affairs Veterans Pension,Review for this particular program or eligibility pathway: Needs-based federal monthly income benefit for eligible wartime veterans with limited income and net worth who meet age or disability requirements.,,res-va-veterans-pension
Financial Assistance,Important specialized help,"Utah Medicaid Medicare Savings Programs (QMB, SLMB, QI)","Review for this particular program or eligibility pathway: Utah Medicare Savings Programs, including QMB, SLMB, and QI, that pay some Medicare premiums and, for QMB, Medicare deductibles and copayments for eligible Medicare beneficiaries.",,res-utah-medicaid-medicare-savings-programs
Financial Assistance,Important specialized help,Utah Department of Veterans and Military Affairs Accelerated Credentialing to Employment (ACE) Program,"Review for this particular program or eligibility pathway: Utah ACE pathway helping eligible veterans, military members, Guard/Reserve members, and spouses obtain civilian certificates, licenses, or short-term training connected to employment.",,res-udvma-ace-grant
Financial Assistance,Important specialized help,Utah Department of Veterans and Military Affairs Utah Veteran First-Time Homebuyer Grant,"Review for this particular program or eligibility pathway: Utah veterans first-time homebuyer grant pathway described by UDVMA as a $2,500 grant for eligible military members buying a first home in Utah.",,res-udvma-veteran-first-time-homebuyer-grant
Financial Assistance,Important specialized help,Utah Home Electric Lifeline Program (HELP) Rocky Mountain Power bill credit,"Review for this particular program or eligibility pathway: Monthly Rocky Mountain Power bill-credit program for income-qualified Utah customers, generally connected to HEAT eligibility and local HEAT agency enrollment.",,res-utah-dws-help-electric-lifeline
Financial Assistance,Important specialized help,Utah DWS Refugee Cash Assistance and Refugee Medical Assistance eligibility,"Review for this particular program or eligibility pathway: State-administered Refugee Cash Assistance and Refugee Medical Assistance eligibility pathway for refugees, asylees, certified trafficking victims, SIV holders, and other ORR-eligible entrants who meet status, income/resource….",,res-utah-dws-refugee-cash-assistance
Financial Assistance,Important specialized help,Utah DWS Adoption Assistance Program for birth parents,Review for this particular program or eligibility pathway: Utah DWS cash-assistance and employment-support program for qualifying birth parents after a child has been legally placed for adoption through a public/private agency or licensed attorney.,,res-utah-dws-adoption-assistance-birth-parents
Financial Assistance,Start here,Utah DWS Emergency Assistance / Homeless Prevention,"Establish the DWS emergency-assistance screening route and its narrow eligibility, timing and funding limits.",,res-utah-dws-emergency-assistance-homeless-prevention
Financial Assistance,Start here,Utah DWS General Assistance,"Review assistance for adults with qualifying barriers to work, separately from family-with-children cash aid.",,res-utah-dws-general-assistance
Financial Assistance,Important specialized help,Utah DWS Specified Relative Program,Review for this particular program or eligibility pathway: Utah DWS cash-assistance pathway for qualifying relatives caring for children whose parents are absent from the home.,,res-utah-dws-specified-relative-program
Financial Assistance,Start here,Utah DWS Unemployment Insurance,Establish unemployment claim access and deadlines early; benefit claims and job placement are separate tasks.,,res-utah-dws-unemployment-insurance
Financial Assistance,Important specialized help,Utah DCFS Transition to Adult Living Aftercare Support and foster-youth document access,"Review for this particular program or eligibility pathway: Utah DCFS Transition to Adult Living aftercare support for qualifying youth who aged out of foster care or left custody/guardianship/adoption after age 16, including crisis support, vehicle purchase/maintenance help, housing….",,res-utah-dcfs-tal-aftercare-support
Financial Assistance,Important specialized help,Utah Housing Corporation First-Time Homebuyer Assistance and Down Payment Assistance,"Review for this particular program or eligibility pathway: State housing-finance homebuyer pathway offering Utah Housing Corporation first mortgages and down-payment/closing-cost assistance through participating lenders, including first-time-homebuyer new-construction assistance when….",,res-utah-housing-corp-homebuyer-dpa
Financial Assistance,Important specialized help,Utah Medicaid Housing Related Services and Supports (HRSS),"Review for this particular program or eligibility pathway: Utah Medicaid Housing Related Services and Supports benefit providing tenancy support, community-transition expenses, supported-living services, and non-medical transportation for eligible Medicaid members through provider plans.",,res-utah-medicaid-hrss
Financial Assistance,Important specialized help,Utah Paiute Tribal Housing Authority Rental Assistance Program,Review for this particular program or eligibility pathway: Utah Paiute Tribal Housing Authority rental-assistance program providing rent subsidies to qualified applicants in its southern Utah tribal housing service area.,,res-uptha-rental-assistance
Financial Assistance,Important specialized help,Utah State Tax Commission Circuit Breaker Renter's Credit,Review for this particular program or eligibility pathway: Utah State Tax Commission renter credit/refund for eligible older renters or unmarried surviving spouses with low household income.,,res-utah-tax-commission-circuit-breaker-renter-credit
Financial Assistance,Start here,Utah Tech University VITA Free Tax Prep,Review the local free tax-preparation intake and seasonal scheduling before paid alternatives.,,res-utah-tech-vita-free-tax-prep
Financial Assistance,Additional options,Washington County Board of REALTORS REACH Foundation Grant Program,Keep as a further option after establishing the starting routes in Financial Assistance: Local REALTORS REACH Foundation grant program providing down-payment or closing-cost grants for qualifying Washington County homebuyers and grants to qualifying housing nonprofits.,,res-washington-county-realtors-reach-grant
Financial Assistance,Start here,Washington County indigent cremation assistance,Clarify county indigent cremation assistance early because families may face immediate decisions and strict eligibility.,,res-washington-county-indigent-cremation-assistance
Financial Assistance,Important specialized help,Utah Targeted Adult Medicaid (TAM) homelessness and justice-involved eligibility pathway,"Review for this particular program or eligibility pathway: Utah Targeted Adult Medicaid eligibility pathway for narrowly eligible low-income adults, including chronically homeless adults, certain justice-involved adults needing treatment, and other specified TAM subgroups, with local….",,res-utah-medicaid-targeted-adult-medicaid-tam
Financial Assistance,Important specialized help,USDA Section 502 Direct Home Loan - Southern Utah rural access,"Review for this particular program or eligibility pathway: USDA Rural Development direct home loan for low- and very-low-income applicants buying or improving homes in eligible rural areas, with southern Utah field-office access and address-by-address property eligibility checks.",,res-usda-section-502-direct-home-loan
Financial Assistance,Important specialized help,Utah Department of Workforce Services Division of Adjudication and Appeals,"Review for this particular program or eligibility pathway: Utah Department of Workforce Services Division of Adjudication and Appeals process for unemployment insurance, public assistance, and training-service appeals, with impartial administrative-law-judge hearings and further appeal….",,res-utah-dws-adjudication-appeals
Financial Assistance,Important specialized help,Operation Homefront Critical Financial Assistance,"Review for this particular program or eligibility pathway: Operation Homefront national Critical Financial Assistance program providing temporary help with overdue essential bills, including utilities, for eligible active-duty military families and post-9/11 wounded, ill, or injured….",,res-operation-homefront-critical-financial-assistance
Financial Assistance,Additional options,The Cost of Courage Foundation Military and Veteran Emergency Support Program,"Keep as a further option after establishing the starting routes in Financial Assistance: National emergency-support program offering limited mailed aid or small gift-card support for eligible active duty, veteran, and Gold Star family applicants when funding and criteria allow.",,res-cost-of-courage-emergency-support
Financial Assistance,Important specialized help,Utah Purple Heart Tuition Waiver,"Review for this particular program or eligibility pathway: State education benefit waiving tuition at Utah public higher-learning institutions for Purple Heart recipients, usable toward degrees up to and including a master's degree.",,res-utah-purple-heart-tuition-waiver
Financial Assistance,Important specialized help,Scott Lundell Military Survivors Tuition Waiver,"Review for this particular program or eligibility pathway: Utah state-school tuition waiver for surviving dependents of service members killed in action on or after September 11, 2001.",,res-utah-scott-lundell-survivors-tuition-waiver
Financial Assistance,Important specialized help,Utah Military Retirement Credit,"Review for this particular program or eligibility pathway: Utah nonrefundable income-tax credit for qualifying taxable military retirement pay, including certain survivor retirement pay, claimed on Utah TC-40A using code AJ.",,res-utah-military-retirement-credit
Financial Assistance,Important specialized help,Utah Veterans Tuition Gap Program,Review for this particular program or eligibility pathway: State supplemental grant for qualifying Veterans attending Utah higher-education institutions after federal education benefits are exhausted or unavailable.,,res-utah-veterans-tuition-gap-program
Financial Assistance,Additional options,Utah Veterans Alliance Helping Hands for Utah's Heroes,"Keep as a further option after establishing the starting routes in Financial Assistance: Utah Veterans Alliance program providing case-by-case financial assistance, service projects, and community-resource connection for Utah Veterans and families facing practical stabilization needs.",,res-utah-veterans-alliance-helping-hands
Financial Assistance,Important specialized help,VFW Department of Utah VA Claim Support / National Veterans Service,"Review for this particular program or eligibility pathway: VFW Department of Utah/National Veterans Service no-charge VA claim-support pathway for veterans, service members, and families seeking help with VA benefits claims, appeals, hearings, and related earned benefits.",,res-vfw-utah-va-claims
Reentry Support,Additional options,Access Foundation recovery housing,"Keep as a further option after establishing the starting routes in Reentry Support: Southern Utah recovery housing network serving people in recovery, including people transitioning from incarceration or homelessness, with peer support, case management, employment support, life-skills development, and resident….",,res-access-foundation
Reentry Support,Additional options,Addict II Athlete Washington County chapter,"Keep as a further option after establishing the starting routes in Reentry Support: Free Washington County peer recovery support meeting combining a recovery lesson, discussion, and physical activity for people affected by addiction, mental illness, trauma, or loss.",,res-addict-ii-athlete
Reentry Support,Additional options,Dixie Alano Club recovery meeting facility,"Keep as a further option after establishing the starting routes in Reentry Support: Recovery clubhouse in St. George hosting many weekly AA, NA, Al-Anon, CMA, and other 12-step or recovery meetings.",,res-dixie-alano
Reentry Support,Start here,Family Healthcare medication-assisted treatment,Establish a local medication-treatment pathway linked to primary care; it adds an access option beyond counseling-only programs.,,res-family-healthcare-mat
Reentry Support,Additional options,FourPoints Health St. George behavioral health and substance-use services,"Keep as a further option after establishing the starting routes in Reentry Support: Tribal/community health center providing mental-health and substance-use assessments, outpatient/IOP counseling, recovery classes, 12-step/Red Road supports, and sliding-fee behavioral health in St. George.",,res-fourpoints
Reentry Support,Additional options,"High Desert Counseling outpatient addiction, co-occurring mental-health, and harm-reduction treatment","Keep as a further option after establishing the starting routes in Reentry Support: St. George outpatient addiction and co-occurring behavioral-health provider offering assessments, PHP/day treatment, IOP, general outpatient counseling, continuing care, DUI school, MAT access, peer support, and….",,res-high-desert
Reentry Support,Additional options,Hope Rising Detox & Rehabilitation Southern Utah continuum,"Keep as a further option after establishing the starting routes in Reentry Support: Southern Utah addiction continuum with St. George outpatient/MAT, nearby Hurricane detox, and New Harmony residential/inpatient admissions that can provide temporary clinically indicated treatment lodging.",,res-hope-rising
Reentry Support,Additional options,Lions Gate Recovery St. George dual-diagnosis addiction and mental-health treatment campus,"Keep as a further option after establishing the starting routes in Reentry Support: Southern Utah addiction and dual-diagnosis treatment continuum with St. George PHP/IOP, Toquerville residential care, and integrated mental-health treatment for co-occurring conditions.",,res-lions-gate
Reentry Support,Start here,New Season St. George Metro Treatment Center,Establish the local opioid treatment program intake and medication access route; this differs from general outpatient counseling.,,res-new-season
Reentry Support,Additional options,"Premier Counseling Services outpatient mental-health, substance-use, and court-approved programs","Keep as a further option after establishing the starting routes in Reentry Support: State-licensed, court-approved St. George provider offering outpatient substance-use treatment, domestic-violence programming, assessments, case-management elements, and mental-health services.",,res-premier
Reentry Support,Additional options,Renaissance Ranch St. George men's drug and alcohol rehab,"Keep as a further option after establishing the starting routes in Reentry Support: Men's residential and outpatient/IOP drug and alcohol treatment in St. George, with Medicaid and insurance verification and treatment-linked residential care.",,res-renaissance-ranch
Reentry Support,Start here,"Southwest Behavioral Health Center crisis support, MCOT, and Crisis Stabilization Center","Establish the crisis, mobile-response and stabilization entry points before reviewing routine treatment options.",,res-sbhc-crisis
Reentry Support,Additional options,Southwest Behavioral Health Center Desert Haven,"Keep as a further option after establishing the starting routes in Reentry Support: Residential support facility for adult women in substance-use treatment and their young children, linked to SBHC St. George day treatment.",,res-sbhc-desert-haven
Reentry Support,Additional options,"Steps Recovery Centers St. George residential, outpatient, veteran-focused substance-use, and integrated mental-health rehab","Keep as a further option after establishing the starting routes in Reentry Support: St. George addiction recovery continuum with residential and outpatient/IOP levels of care, veteran-focused substance-use programming, and integrated mental-health work for co-occurring trauma, anxiety, depression, grief, and….",,res-steps
Reentry Support,Additional options,"True North Recovery and Wellness Center St. George OTP, MAT, IOP, and court-related assessments","Keep as a further option after establishing the starting routes in Reentry Support: CARF-accredited St. George outpatient opioid treatment program with methadone, buprenorphine/Suboxone/Sublocade, naltrexone/Vivitrol, counseling, IOP, outpatient treatment, drug/alcohol assessments, and support for people….",,res-true-north
Reentry Support,Important specialized help,"Saint George Vet Center confidential counseling, transition, referral support, and veteran document navigation","Review for this particular program or eligibility pathway: Free confidential Vet Center counseling, transition support, substance-use referral, crisis same-day response, career/education linkage, VA/community-resource connection, and limited eligibility/document navigation for veterans….",,res-vet-center
Reentry Support,Start here,USARA St. George Recovery Community Center,Establish the local recovery community center as an initial peer-support and navigation connection.,,res-usara-stgeorge
Reentry Support,Start here,Utah Department of Corrections Region 5 Treatment Resource Center,Clarify the local corrections treatment and supervision-linked referral route early; access is not general public intake.,,res-udc-trc
Reentry Support,Important specialized help,Utah State Courts Fifth District St. George recovery and family dependency drug courts,Review for this particular program or eligibility pathway: Fifth District Court St. George adult drug/recovery court and juvenile family dependency drug court locations integrating substance-use treatment with court supervision.,,res-utah-courts-drug-family
Reentry Support,Start here,Washington County Court Support Services,"Review the local court-support intake early so supervision, eligibility and referral restrictions are understood.",,res-court-support
Reentry Support,Additional options,Wellbriety Southern Utah Sacred Fire Meeting,Keep as a further option after establishing the starting routes in Reentry Support: Culturally rooted Wellbriety / White Bison peer recovery meeting hosted at USARA St. George and listed as open to all.,,res-wellbriety
Reentry Support,Additional options,"Southwest Behavioral Health Center Washington County behavioral health, case management, Medicaid coordination, transportation help, and ID fee-waiver verification access","Keep as a further option after establishing the starting routes in Reentry Support: Public community behavioral-health outpatient access point for adults, youth, and families in southwest Utah, including mental-health treatment, psychiatry/medical services, case management, Medicaid behavioral-health….",,res-sbhc-children-family-outpatient
Reentry Support,Start here,"Switchpoint Community Resource Center shelter, meals, case management, transportation assistance, mental-health support, coordinated entry, ID-recovery help, and veteran homeless-service linkage",Establish the local homelessness intake and case-management connection first; confirm which assistance is direct and which requires another program.,"Which family, adult and veteran pathways can you initiate here, and which require a separate intake or referral?",res-switchpoint-family-emergency-shelter
Reentry Support,Start here,Utah Department of Workforce Services Eligibility Services - St. George/myCase benefits access,"Establish the benefits eligibility/application entry point, including how to get help with a stalled application.",,res-utah-dws-eligibility-services-st-george
Reentry Support,Start here,Utah Legal Services St. George civil legal aid and limited immigration citizenship help,Establish the local civil legal-aid screening route before specialist or fee-based alternatives.,,res-utah-legal-services-st-george-family-benefits
Reentry Support,Important specialized help,"Youth Futures St. George emergency youth shelter, drop-in services, computer access, and transportation support","Review for this particular program or eligibility pathway: Youth Futures St. George emergency shelter and drop-in services for runaway, homeless, unaccompanied and vulnerable youth ages 12-18, including safe shelter, meals, clothing, hygiene, laundry, case management, therapy, computer….",,res-youth-futures-st-george-youth-shelter-drop-in
Reentry Support,Start here,"Five County AOG Community Action Partnership coordinated entry, rapid rehousing, diversion, utility deposits, and housing assistance",Establish coordinated entry and community-action screening early; several housing and basic-needs pathways depend on that intake.,"What is the current coordinated-entry process, and which assistance funds or placements are accepting referrals?",res-five-county-cap-rapid-rehousing-toolkits
Reentry Support,Start here,"Utah DWS St. George career, education, and supportive services",Establish the public workforce intake and eligibility for training/supportive services before individual job-training alternatives.,,res-utah-dws-st-george-work-clothing-supportive-services
Reentry Support,Important specialized help,"Utah State Office of Rehabilitation Vocational Rehabilitation - St. George employment, training, restoration, and transportation supports","Review for this particular program or eligibility pathway: Utah State Office of Rehabilitation vocational rehabilitation access in St. George for eligible people with disabilities whose employment plan may require counseling, training, college or vocational education, job placement….",,res-usor-vr-st-george-employment-supports
Reentry Support,Start here,Deseret Industries St. George job training and development program,"Clarify the local job-training entry point and referral requirements, including how participation connects to employment.",,res-deseret-industries-st-george-job-training
Reentry Support,Important specialized help,"Social Security benefits, retirement, SSI, Medicare, Extra Help, appeals, and Saint George office access","Review for this particular program or eligibility pathway: Official Social Security access pathway for Social Security retirement, SSI, survivors, SSDI, Medicare enrollment, Extra Help, Social Security cards, benefit verification, appeals, homeless mailing-address options, and….",,res-social-security-disability-benefits-st-george-access
Reentry Support,Important specialized help,"St. George Housing Authority housing, rental-assistance inquiry, and homeless document-verification access","Review for this particular program or eligibility pathway: Local public housing authority administering St. George/Washington County Housing Choice Vouchers, low-income rental information, Dixie Sun Manor age-62+ public housing, limited emergency rental/mortgage assistance, HUD-covered….",,res-st-george-housing-authority-section-8-public-housing
Reentry Support,Important specialized help,"Utah DSDHH Southern Utah Program / Southern Center case management, benefits access, classes, and senior events","Review for this particular program or eligibility pathway: State Division of Services of the Deaf and Hard of Hearing Southern Utah Program/Southern Center offering free St. George case management, benefits navigation, housing-application help, employment support, classes….",,res-utah-dsdhh-southern-center-case-management
Reentry Support,Important specialized help,"Washington County School District Southwest Adult High School adult education, diploma, and GED preparation","Review for this particular program or eligibility pathway: WCSD adult education program in St. George offering adult high-school diploma planning, GED preparation, assessment, blended online/in-class coursework, tutoring support, and credential completion for employment and….",,res-wcsd-southwest-adult-high-school-adult-education
Reentry Support,Start here,"Five County AOG Community Action Partnership Employment Support, bus passes, vouchers, and document assistance","Establish practical employment barriers support—documents, fare and vouchers—alongside job search and training.",,res-five-county-cap-employment-support
Reentry Support,Additional options,Southwest Behavioral Health Center Southwest Employment Services,"Keep as a further option after establishing the starting routes in Reentry Support: Southwest Behavioral Health Center employment-services team providing supported employment, rapid job search, resume/interview help, benefits navigation, work-incentive planning, and long-term employment support for people with….",,res-sbhc-southwest-employment-services
